"ID","pval","fdr","linear_fc","log2_fc"
"Asparagine",0.0888972843888837,0.805107320917869,1.22934699962692,0.297892193157044
"Glycine",0.0780784944663221,0.805107320917869,0.773799070973805,-0.369969098210509
"Proline",0.140018664507455,0.805107320917869,1.20060618806188,0.263763008912176
"Serine",0.135660572622528,0.805107320917869,1.1222629968429,0.166410804092369
"Arginine",0.191607233459875,0.833157375532334,0.886695011450467,-0.173490135943477
"Glutamic acid",0.338620501494914,0.833157375532334,0.864393652086028,-0.210239617481282
"Homoserine/Threonine",0.286980745278217,0.833157375532334,1.11560336438009,0.157824190292017
"Lysine",0.362242337187971,0.833157375532334,0.899900785369372,-0.152162142718098
"Phenyl alanine",0.293307018976517,0.833157375532334,0.909001778983983,-0.137644977003889
"Tyrosine",0.276540033017723,0.833157375532334,1.15744064633141,0.210938213840729
"Betaine",0.572708065707371,0.940877536519252,1.06717484476263,0.093796565109709
"Glutamine",0.507373986177982,0.940877536519252,0.930397521961601,-0.104080840572438
"Histidine",0.552786024862297,0.940877536519252,0.933748201279284,-0.0988945361104747
"Tryptophan",0.512367062774968,0.940877536519252,1.0517813289688,0.0728347916981127
"Alanine",0.950486035076767,0.980892739583863,0.991694747844051,-0.0120319798618205
"Aspartic acid",0.980892739583863,0.980892739583863,1.00314251472532,0.00452658170462206
"Citrulline",0.92907811107235,0.980892739583863,0.992108890619151,-0.0114296201071021
"Cystine",0.934417743048416,0.980892739583863,1.01838645890655,0.0262851415178155
"Glutaric acid",0.707171575952373,0.980892739583863,0.89763812466879,-0.155794143202524
"Isoleucine/Leucine",0.796323677058768,0.980892739583863,1.02307865300779,0.0329170619379564
"Methionine",0.850522414701922,0.980892739583863,1.02277215954219,0.0324847952218484
"Ornithine",0.668790502468139,0.980892739583863,1.06041815512785,0.0846332755146175
"Valine",0.837091913453771,0.980892739583863,1.02854197032305,0.0406006651720465
